Provider,Network,Station,Location,Channel,Latitude,Longitude,DistanceKm,SampleRate,EpochStart,EpochEnd
"EarthScope / PRIMARY","KO","GAZ","","HHE","37.1721","37.2096","149.84045382","100","2022-02-03T08:54:00.0000",""
"EarthScope / PRIMARY","KO","GAZ","","HHN","37.1721","37.2096","149.84045382","100","2022-02-03T08:54:00.0000",""
"EarthScope / PRIMARY","KO","GAZ","","HHZ","37.1721","37.2096","149.84045382","100","2022-02-03T08:54:00.0000",""
"KOERI / archive","KO","GAZ","","HHE","37.1721","37.2096","149.84045382","100","2022-02-03T08:54:00",""
"KOERI / archive","KO","GAZ","","HHN","37.1721","37.2096","149.84045382","100","2022-02-03T08:54:00",""
"KOERI / archive","KO","GAZ","","HHZ","37.1721","37.2096","149.84045382","100","2022-02-03T08:54:00",""
"KOERI / archive","KO","KHMN","","HNE","37.3916","37.1574","150.71365558","100","2012-11-29T00:00:00",""
"KOERI / archive","KO","KHMN","","HNN","37.3916","37.1574","150.71365558","100","2012-11-29T00:00:00",""
"KOERI / archive","KO","KHMN","","HNZ","37.3916","37.1574","150.71365558","100","2012-11-29T00:00:00",""
"KOERI / archive","KO","ARGN","","HHE","38.7763","38.2639","153.98742862","100","2024-10-16T11:00:00",""
"KOERI / archive","KO","ARGN","","HHN","38.7763","38.2639","153.98742862","100","2024-10-16T11:00:00",""
"KOERI / archive","KO","ARGN","","HHZ","38.7763","38.2639","153.98742862","100","2024-10-16T11:00:00",""
"KOERI / archive","KO","DARE","","HHE","38.5712","37.4832","171.65201792","100","2022-11-28T08:30:00",""
"KOERI / archive","KO","DARE","","HHN","38.5712","37.4832","171.65201792","100","2022-11-28T08:30:00",""
"KOERI / archive","KO","DARE","","HHZ","38.5712","37.4832","171.65201792","100","2022-11-28T08:30:00",""
"KOERI / archive","KO","KMRS","","HHE","37.5087","36.9","173.07253743","100","2022-11-15T06:30:00",""
"KOERI / archive","KO","KMRS","","HHN","37.5087","36.9","173.07253743","100","2022-11-15T06:30:00",""
"KOERI / archive","KO","KMRS","","HHZ","37.5087","36.9","173.07253743","100","2022-11-15T06:30:00",""
"GEOFON / archive","GE","ARPR","","BHE","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","BHN","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","BHZ","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","BLE","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","BLN","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","BLZ","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","LHE","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","LHN","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","LHZ","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","LLE","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","LLN","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","LLZ","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","SHE","39.09289","38.33557","185.80906285","50","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","SHN","39.09289","38.33557","185.80906285","50","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","SHZ","39.09289","38.33557","185.80906285","50","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","SLE","39.09289","38.33557","185.80906285","50","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","SLN","39.09289","38.33557","185.80906285","50","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","SLZ","39.09289","38.33557","185.80906285","50","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","VHE","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","VHN","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00",""
"GEOFON / archive","GE","ARPR","","VHZ","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00",""
"EarthScope / PRIMARY","MN","ARPR","","BHE","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","BHN","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","BHZ","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","LHE","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","LHN","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","LHZ","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","VHE","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","VHN","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00.0000",""
"EarthScope / PRIMARY","MN","ARPR","","VHZ","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00.0000",""
"INGV / archive","MN","ARPR","","BHE","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","BHN","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","BHZ","39.09289","38.33557","185.80906285","20","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","LHE","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","LHN","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","LHZ","39.09289","38.33557","185.80906285","1","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","VHE","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","VHN","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00",""
"INGV / archive","MN","ARPR","","VHZ","39.09289","38.33557","185.80906285","0.1","2014-01-23T00:00:00",""
"EarthScope / PRIMARY","SY","ARPR","S1","LXE","39.092892","38.335571","185.80925665","0.5","1900-01-01T00:00:00.0000",""
"EarthScope / PRIMARY","SY","ARPR","S1","LXN","39.092892","38.335571","185.80925665","0.5","1900-01-01T00:00:00.0000",""
"EarthScope / PRIMARY","SY","ARPR","S1","LXZ","39.092892","38.335571","185.80925665","0.5","1900-01-01T00:00:00.0000",""
"EarthScope / PRIMARY","SY","ARPR","S3","MXE","39.092892","38.335571","185.80925665","6.192","1900-01-01T00:00:00.0000",""
"EarthScope / PRIMARY","SY","ARPR","S3","MXN","39.092892","38.335571","185.80925665","6.192","1900-01-01T00:00:00.0000",""
"EarthScope / PRIMARY","SY","ARPR","S3","MXZ","39.092892","38.335571","185.80925665","6.192","1900-01-01T00:00:00.0000",""
"KOERI / archive","KO","ARPRA","","HNE","39.0929","38.3356","185.80949319","100","2018-09-12T11:00:00",""
"KOERI / archive","KO","ARPRA","","HNN","39.0929","38.3356","185.80949319","100","2018-09-12T11:00:00",""
"KOERI / archive","KO","ARPRA","","HNZ","39.0929","38.3356","185.80949319","100","2018-09-12T11:00:00",""
"KOERI / archive","KO","LICE","","HHE","38.4532","40.6446","190.54199651","100","2022-11-25T00:00:00",""
"KOERI / archive","KO","LICE","","HHN","38.4532","40.6446","190.54199651","100","2022-11-25T00:00:00",""
"KOERI / archive","KO","LICE","","HHZ","38.4532","40.6446","190.54199651","100","2022-11-25T00:00:00",""
"KOERI / archive","KO","SINE","","HHE","39.1636","39.3871","193.43819976","100","2023-06-15T08:05:00",""
"KOERI / archive","KO","SINE","","HHN","39.1636","39.3871","193.43819976","100","2023-06-15T08:05:00",""
"KOERI / archive","KO","SINE","","HHZ","39.1636","39.3871","193.43819976","100","2023-06-15T08:05:00",""
