plane,strike,dip,rake,solution_status
NP1_waveform,118.0,66.0,-50.0,EXPLORATORY_UNDERCONSTRAINED_AUTO
NP2_auxiliary,233.86085327929746,45.587722683742726,-145.29147906417612,EXPLORATORY_UNDERCONSTRAINED_AUTO
