strike,dip,rake,weighted_misfit,misfit_fraction,polarity_errors
120,50,-60,0.09225809803317878,0.2,1
120,60,-50,0.09225809803317878,0.2,1
120,90,-30,0.09225809803317878,0.2,1
120,90,-20,0.09225809803317878,0.2,1
120,90,-10,0.09225809803317878,0.2,1
120,90,0,0.09225809803317878,0.2,1
120,90,10,0.09225809803317878,0.2,1
120,90,20,0.09225809803317878,0.2,1
120,90,30,0.09225809803317878,0.2,1
120,90,40,0.09225809803317878,0.2,1
130,50,-60,0.09225809803317878,0.2,1
130,50,-50,0.09225809803317878,0.2,1
130,80,-30,0.09225809803317878,0.2,1
130,80,-20,0.09225809803317878,0.2,1
130,80,-10,0.09225809803317878,0.2,1
130,80,0,0.09225809803317878,0.2,1
130,80,10,0.09225809803317878,0.2,1
130,80,20,0.09225809803317878,0.2,1
130,80,30,0.09225809803317878,0.2,1
130,80,40,0.09225809803317878,0.2,1
130,80,50,0.09225809803317878,0.2,1
130,90,-30,0.09225809803317878,0.2,1
130,90,-20,0.09225809803317878,0.2,1
130,90,-10,0.09225809803317878,0.2,1
130,90,0,0.09225809803317878,0.2,1
130,90,10,0.09225809803317878,0.2,1
130,90,20,0.09225809803317878,0.2,1
130,90,30,0.09225809803317878,0.2,1
140,70,-20,0.09225809803317878,0.2,1
140,70,-10,0.09225809803317878,0.2,1
140,70,0,0.09225809803317878,0.2,1
140,70,10,0.09225809803317878,0.2,1
140,70,20,0.09225809803317878,0.2,1
140,70,30,0.09225809803317878,0.2,1
140,70,40,0.09225809803317878,0.2,1
140,70,50,0.09225809803317878,0.2,1
140,80,-30,0.09225809803317878,0.2,1
140,80,-20,0.09225809803317878,0.2,1
140,80,-10,0.09225809803317878,0.2,1
140,80,0,0.09225809803317878,0.2,1
140,80,10,0.09225809803317878,0.2,1
140,80,20,0.09225809803317878,0.2,1
140,80,30,0.09225809803317878,0.2,1
140,90,-30,0.09225809803317878,0.2,1
140,90,-20,0.09225809803317878,0.2,1
140,90,-10,0.09225809803317878,0.2,1
140,90,0,0.09225809803317878,0.2,1
140,90,10,0.09225809803317878,0.2,1
140,90,20,0.09225809803317878,0.2,1
150,60,-20,0.09225809803317878,0.2,1
150,60,-10,0.09225809803317878,0.2,1
150,60,0,0.09225809803317878,0.2,1
150,60,10,0.09225809803317878,0.2,1
150,60,20,0.09225809803317878,0.2,1
150,60,30,0.09225809803317878,0.2,1
150,60,40,0.09225809803317878,0.2,1
150,60,50,0.09225809803317878,0.2,1
150,70,-20,0.09225809803317878,0.2,1
150,70,-10,0.09225809803317878,0.2,1
150,70,0,0.09225809803317878,0.2,1
150,70,10,0.09225809803317878,0.2,1
150,70,20,0.09225809803317878,0.2,1
150,80,-20,0.09225809803317878,0.2,1
150,80,-10,0.09225809803317878,0.2,1
150,80,0,0.09225809803317878,0.2,1
150,80,10,0.09225809803317878,0.2,1
150,90,-20,0.09225809803317878,0.2,1
150,90,-10,0.09225809803317878,0.2,1
150,90,0,0.09225809803317878,0.2,1
160,90,-20,0.09225809803317878,0.2,1
170,50,60,0.09225809803317878,0.2,1
180,50,70,0.09225809803317878,0.2,1
200,50,90,0.09225809803317878,0.2,1
200,50,100,0.09225809803317878,0.2,1
200,50,110,0.09225809803317878,0.2,1
200,50,120,0.09225809803317878,0.2,1
200,50,130,0.09225809803317878,0.2,1
200,50,140,0.09225809803317878,0.2,1
200,60,150,0.09225809803317878,0.2,1
200,60,160,0.09225809803317878,0.2,1
200,60,170,0.09225809803317878,0.2,1
200,70,150,0.09225809803317878,0.2,1
200,70,160,0.09225809803317878,0.2,1
200,70,170,0.09225809803317878,0.2,1
210,50,100,0.09225809803317878,0.2,1
210,50,110,0.09225809803317878,0.2,1
210,50,120,0.09225809803317878,0.2,1
210,50,130,0.09225809803317878,0.2,1
210,50,140,0.09225809803317878,0.2,1
210,50,150,0.09225809803317878,0.2,1
210,60,-180,0.09225809803317878,0.2,1
210,60,160,0.09225809803317878,0.2,1
210,60,170,0.09225809803317878,0.2,1
