strike,dip,rake,weighted_misfit,misfit_fraction,polarity_errors
118.0,66.0,-50.0,0.0,0.0,0
118.0,66.0,-48.0,0.0,0.0,0
118.0,68.0,-48.0,0.0,0.0,0
120.0,66.0,-50.0,0.0,0.0,0
120.0,66.0,-48.0,0.0,0.0,0
120.0,68.0,-48.0,0.0,0.0,0
122.0,64.0,-52.0,0.0,0.0,0
122.0,64.0,-50.0,0.0,0.0,0
122.0,64.0,-48.0,0.0,0.0,0
122.0,66.0,-50.0,0.0,0.0,0
122.0,66.0,-48.0,0.0,0.0,0
122.0,68.0,-48.0,0.0,0.0,0
122.0,70.0,-48.0,0.0,0.0,0
122.0,72.0,-46.0,0.0,0.0,0
124.0,62.0,-54.0,0.0,0.0,0
124.0,62.0,-52.0,0.0,0.0,0
124.0,62.0,-50.0,0.0,0.0,0
124.0,62.0,-48.0,0.0,0.0,0
124.0,64.0,-52.0,0.0,0.0,0
124.0,64.0,-50.0,0.0,0.0,0
124.0,64.0,-48.0,0.0,0.0,0
124.0,66.0,-50.0,0.0,0.0,0
124.0,66.0,-48.0,0.0,0.0,0
124.0,66.0,-46.0,0.0,0.0,0
124.0,68.0,-50.0,0.0,0.0,0
124.0,68.0,-48.0,0.0,0.0,0
124.0,68.0,-46.0,0.0,0.0,0
124.0,70.0,-48.0,0.0,0.0,0
124.0,70.0,-46.0,0.0,0.0,0
124.0,72.0,-46.0,0.0,0.0,0
126.0,60.0,-56.0,0.0,0.0,0
126.0,60.0,-54.0,0.0,0.0,0
126.0,60.0,-52.0,0.0,0.0,0
126.0,60.0,-50.0,0.0,0.0,0
126.0,60.0,-48.0,0.0,0.0,0
126.0,62.0,-54.0,0.0,0.0,0
126.0,62.0,-52.0,0.0,0.0,0
126.0,62.0,-50.0,0.0,0.0,0
126.0,62.0,-48.0,0.0,0.0,0
126.0,62.0,-46.0,0.0,0.0,0
126.0,64.0,-52.0,0.0,0.0,0
126.0,64.0,-50.0,0.0,0.0,0
126.0,64.0,-48.0,0.0,0.0,0
126.0,64.0,-46.0,0.0,0.0,0
126.0,66.0,-50.0,0.0,0.0,0
126.0,66.0,-48.0,0.0,0.0,0
126.0,66.0,-46.0,0.0,0.0,0
126.0,68.0,-50.0,0.0,0.0,0
126.0,68.0,-48.0,0.0,0.0,0
126.0,68.0,-46.0,0.0,0.0,0
126.0,70.0,-48.0,0.0,0.0,0
126.0,70.0,-46.0,0.0,0.0,0
126.0,72.0,-46.0,0.0,0.0,0
128.0,60.0,-54.0,0.0,0.0,0
128.0,60.0,-52.0,0.0,0.0,0
128.0,60.0,-50.0,0.0,0.0,0
128.0,60.0,-48.0,0.0,0.0,0
128.0,60.0,-46.0,0.0,0.0,0
128.0,62.0,-54.0,0.0,0.0,0
128.0,62.0,-52.0,0.0,0.0,0
128.0,62.0,-50.0,0.0,0.0,0
128.0,62.0,-48.0,0.0,0.0,0
128.0,62.0,-46.0,0.0,0.0,0
128.0,64.0,-52.0,0.0,0.0,0
128.0,64.0,-50.0,0.0,0.0,0
128.0,64.0,-48.0,0.0,0.0,0
128.0,64.0,-46.0,0.0,0.0,0
128.0,66.0,-50.0,0.0,0.0,0
128.0,66.0,-48.0,0.0,0.0,0
128.0,66.0,-46.0,0.0,0.0,0
128.0,68.0,-50.0,0.0,0.0,0
128.0,68.0,-48.0,0.0,0.0,0
128.0,68.0,-46.0,0.0,0.0,0
128.0,70.0,-48.0,0.0,0.0,0
128.0,70.0,-46.0,0.0,0.0,0
128.0,72.0,-48.0,0.0,0.0,0
128.0,72.0,-46.0,0.0,0.0,0
130.0,58.0,-56.0,0.0,0.0,0
130.0,58.0,-54.0,0.0,0.0,0
130.0,58.0,-52.0,0.0,0.0,0
130.0,58.0,-50.0,0.0,0.0,0
130.0,58.0,-48.0,0.0,0.0,0
130.0,58.0,-46.0,0.0,0.0,0
130.0,60.0,-54.0,0.0,0.0,0
130.0,60.0,-52.0,0.0,0.0,0
130.0,60.0,-50.0,0.0,0.0,0
130.0,60.0,-48.0,0.0,0.0,0
130.0,60.0,-46.0,0.0,0.0,0
130.0,62.0,-54.0,0.0,0.0,0
130.0,62.0,-52.0,0.0,0.0,0
130.0,62.0,-50.0,0.0,0.0,0
130.0,62.0,-48.0,0.0,0.0,0
130.0,62.0,-46.0,0.0,0.0,0
130.0,64.0,-52.0,0.0,0.0,0
130.0,64.0,-50.0,0.0,0.0,0
130.0,64.0,-48.0,0.0,0.0,0
130.0,64.0,-46.0,0.0,0.0,0
130.0,66.0,-50.0,0.0,0.0,0
130.0,66.0,-48.0,0.0,0.0,0
130.0,66.0,-46.0,0.0,0.0,0
130.0,68.0,-50.0,0.0,0.0,0
130.0,68.0,-48.0,0.0,0.0,0
130.0,68.0,-46.0,0.0,0.0,0
130.0,68.0,-44.0,0.0,0.0,0
130.0,70.0,-48.0,0.0,0.0,0
130.0,70.0,-46.0,0.0,0.0,0
130.0,70.0,-44.0,0.0,0.0,0
130.0,72.0,-48.0,0.0,0.0,0
130.0,72.0,-46.0,0.0,0.0,0
130.0,72.0,-44.0,0.0,0.0,0
132.0,58.0,-56.0,0.0,0.0,0
132.0,58.0,-54.0,0.0,0.0,0
132.0,58.0,-52.0,0.0,0.0,0
132.0,58.0,-50.0,0.0,0.0,0
132.0,58.0,-48.0,0.0,0.0,0
132.0,58.0,-46.0,0.0,0.0,0
132.0,60.0,-54.0,0.0,0.0,0
132.0,60.0,-52.0,0.0,0.0,0
132.0,60.0,-50.0,0.0,0.0,0
132.0,60.0,-48.0,0.0,0.0,0
132.0,60.0,-46.0,0.0,0.0,0
132.0,60.0,-44.0,0.0,0.0,0
132.0,62.0,-54.0,0.0,0.0,0
132.0,62.0,-52.0,0.0,0.0,0
132.0,62.0,-50.0,0.0,0.0,0
132.0,62.0,-48.0,0.0,0.0,0
132.0,62.0,-46.0,0.0,0.0,0
132.0,62.0,-44.0,0.0,0.0,0
132.0,64.0,-52.0,0.0,0.0,0
132.0,64.0,-50.0,0.0,0.0,0
132.0,64.0,-48.0,0.0,0.0,0
132.0,64.0,-46.0,0.0,0.0,0
132.0,64.0,-44.0,0.0,0.0,0
132.0,66.0,-50.0,0.0,0.0,0
132.0,66.0,-48.0,0.0,0.0,0
132.0,66.0,-46.0,0.0,0.0,0
132.0,66.0,-44.0,0.0,0.0,0
132.0,68.0,-50.0,0.0,0.0,0
132.0,68.0,-48.0,0.0,0.0,0
132.0,68.0,-46.0,0.0,0.0,0
132.0,68.0,-44.0,0.0,0.0,0
132.0,70.0,-48.0,0.0,0.0,0
132.0,70.0,-46.0,0.0,0.0,0
132.0,70.0,-44.0,0.0,0.0,0
132.0,72.0,-48.0,0.0,0.0,0
132.0,72.0,-46.0,0.0,0.0,0
132.0,72.0,-44.0,0.0,0.0,0
134.0,56.0,-58.0,0.0,0.0,0
134.0,56.0,-56.0,0.0,0.0,0
134.0,56.0,-54.0,0.0,0.0,0
134.0,56.0,-52.0,0.0,0.0,0
134.0,56.0,-50.0,0.0,0.0,0
134.0,56.0,-48.0,0.0,0.0,0
134.0,56.0,-46.0,0.0,0.0,0
134.0,56.0,-44.0,0.0,0.0,0
134.0,58.0,-56.0,0.0,0.0,0
134.0,58.0,-54.0,0.0,0.0,0
134.0,58.0,-52.0,0.0,0.0,0
134.0,58.0,-50.0,0.0,0.0,0
134.0,58.0,-48.0,0.0,0.0,0
134.0,58.0,-46.0,0.0,0.0,0
134.0,58.0,-44.0,0.0,0.0,0
134.0,60.0,-54.0,0.0,0.0,0
134.0,60.0,-52.0,0.0,0.0,0
134.0,60.0,-50.0,0.0,0.0,0
134.0,60.0,-48.0,0.0,0.0,0
134.0,60.0,-46.0,0.0,0.0,0
134.0,60.0,-44.0,0.0,0.0,0
134.0,62.0,-54.0,0.0,0.0,0
134.0,62.0,-52.0,0.0,0.0,0
134.0,62.0,-50.0,0.0,0.0,0
134.0,62.0,-48.0,0.0,0.0,0
134.0,62.0,-46.0,0.0,0.0,0
134.0,62.0,-44.0,0.0,0.0,0
134.0,64.0,-52.0,0.0,0.0,0
134.0,64.0,-50.0,0.0,0.0,0
134.0,64.0,-48.0,0.0,0.0,0
134.0,64.0,-46.0,0.0,0.0,0
134.0,64.0,-44.0,0.0,0.0,0
134.0,66.0,-50.0,0.0,0.0,0
134.0,66.0,-48.0,0.0,0.0,0
134.0,66.0,-46.0,0.0,0.0,0
134.0,66.0,-44.0,0.0,0.0,0
134.0,68.0,-50.0,0.0,0.0,0
134.0,68.0,-48.0,0.0,0.0,0
